Project Name,Contact Number,RERA Number,Notes
IRIS,+91 9289 212 121,P02400010373,Offers 4 and 6 BHK apartments
WAVE,+91 9289 212 121,P02400010373,Portfolio project
SAGE,+91 9289 212 121,P02400010373,Portfolio project
CINQ,+91 9289 212 121,P02400010373,Portfolio project
NOVA,+91 9289 212 121,P02400010373,Portfolio project
